Comment,Designator,Footprint,LCSC,Quantity
2.2uH,L2,L_0805_2012Metric,,1
SS34,D2,DIOM7959X265N,,1
Conn_01x02,J2,P-250-202,,1
0.1uF,C1,C_0805_2012Metric,,1
RED,D1,LED_0805_2012Metric,,1
2.2uH,L1,L_0805_2012Metric,,1
10uF,C2,C_0805_2012Metric,,1
530470510,J4,MOLEX_530470510,,1
RFM95W,,HOPERF_RFM9XW_THT,,0
Pressure sensor,J6,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,,1
4.7k,R6,R_0603_1608Metric,,1
TPS62162DSG,U3,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,,1
10uF,C4,C_0805_2012Metric,,1
0.1uF,C3,C_0805_2012Metric,,1
Conn_Coaxial_Small,J1,CONN_RF2-04A-T-00-50-G_ADM,,1
"22uF, 6.3V",C6,C_0805_2012Metric,,1
"10uF, 25V",C5,C_0805_2012Metric,,1
4.7k,R5,R_0603_1608Metric,,1
TPS62163DSG,U5,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,,1
220,R3,R_0603_1608Metric,,1
220 uF,C9,C_0805_2012Metric,,1
Extra sensor TOP,J10,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,,1
"10uF, 25V",C11,C_0805_2012Metric,,1
LED,J8,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,,1
100nF,C14,C_0805_2012Metric,,1
Power Connector,J5,PinHeader_1x05_P2.54mm_Vertical,,1
Conn_01x02,JBUTT1,PinHeader_1x02_P2.54mm_Vertical,,1
220 uF,C10,C_0805_2012Metric,,1
ToF sensor,J7,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,,1
100nF,C13,C_0805_2012Metric,,1
SN74LVC1T45DBV,U6,SOT-23-6,,1
BMP388,U7,XDCR_BMP388,,1
PWRCONN,J9,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,,1
XIAO-ESP32-S3-Plus-SMD,U1,XIAO-ESP32-S3-Plus-SMD,,1
"22uF, 10V",C12,C_0805_2012Metric,,1
Extra sensor BOTTOM,J11,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,,1
