Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,169.25,-60.0,-90.0,top
C10,220 uF,C_0805_2012Metric,141.925,-47.22,90.0,top
C11,"10uF, 25V",C_0805_2012Metric,141.405,-50.305,180.0,top
C12,"22uF, 10V",C_0805_2012Metric,148.095,-45.695,-90.0,top
C13,100nF,C_0805_2012Metric,135.485,-73.885,180.0,top
C14,100nF,C_0805_2012Metric,142.035,-71.265,-90.0,top
C2,10uF,C_0805_2012Metric,171.75,-60.0,-90.0,top
C3,0.1uF,C_0805_2012Metric,141.315,-58.685,90.0,top
C4,10uF,C_0805_2012Metric,144.325,-58.685,90.0,top
C5,"10uF, 25V",C_0805_2012Metric,173.32,-74.52,90.0,top
C6,"22uF, 6.3V",C_0805_2012Metric,183.32,-73.57,-90.0,top
C9,220 uF,C_0805_2012Metric,168.995,-77.465,90.0,top
D1,RED,LED_0805_2012Metric,147.735,-71.62,0.0,top
D2,SS34,DIOM7959X265N,101.55,-69.455,90.0,top
J1,Conn_Coaxial_Small,CONN_RF2-04A-T-00-50-G_ADM,160.4384,-74.4484,0.0,top
J10,Extra sensor TOP,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,109.485,-76.875,90.0,top
J11,Extra sensor BOTTOM,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,128.935,-78.315,90.0,bottom
J2,Conn_01x02,P-250-202,176.62,-66.73,0.0,bottom
J4,530470510,MOLEX_530470510,108.48,-64.96,90.0,bottom
J5,Power Connector,PinHeader_1x05_P2.54mm_Vertical,166.055,-89.305,-90.0,top
J6,Pressure sensor,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,120.125,-78.32,90.0,top
J7,ToF sensor,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,113.205,-55.375,180.0,top
J8,LED,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,153.945,-46.945,0.0,top
J9,PWRCONN,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,179.745,-87.215,180.0,top
JBUTT1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,178.825,-92.825,90.0,top
L1,2.2uH,L_0805_2012Metric,180.32,-74.57,0.0,top
L2,2.2uH,L_0805_2012Metric,145.255,-46.715,0.0,top
R3,220,R_0603_1608Metric,149.0,-77.95,-90.0,top
R5,4.7k,R_0603_1608Metric,117.675,-65.0,180.0,top
R6,4.7k,R_0603_1608Metric,117.675,-66.99,180.0,top
U1,XIAO-ESP32-S3-Plus-SMD,XIAO-ESP32-S3-Plus-SMD,130.784,-61.4482,90.0,top
U2,RFM95W,HOPERF_RFM9XW_THT,159.5925,-60.0925,0.0,top
U3,TPS62162DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,176.81,-75.67,0.0,top
U5,TPS62163DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,145.29,-49.945,0.0,top
U6,SN74LVC1T45DBV,SOT-23-6,144.555,-54.0,0.0,top
U7,BMP388,XDCR_BMP388,139.375,-75.055,0.0,top
