Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C7",0805,3,0.1uF,
"C2, C4, C8",0805,3,10uF,
C5,0805,1,"10uF, 25V",
C6,0805,1,"22uF, 6.3V",
D1,0805,1,RED,
J1,CONN_RF2-04A-T-00-50-G_ADM,1,SMA_CONNECTOR,
J4,MOLEX_530470510,1,530470510,
J5,PinHeader_1x05_P2.54mm_Vertical,1,Power Connector,
J6,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,Pressure sensor,
J7,PinHeader_1x03_P2.54mm_Vertical,1,POWER PROBE,
L1,0805,1,2.2uH,
"R1, R2",0805,2,10k,
R3,0603,1,220,
"R5, R6",0603,2,4.7k,
U2,HOPERF_RFM9XW_THT,1,RFM95W,
U3,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TPS62162DSG,
U4,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME680,
U5,MODULE_113991054,1,XIAO-nRF52840-DIP,
