Ref,Val,Package,PosX,PosY,Rot,Side
"J4","BATT Reg IC","PinHeader_1x03_P2.54mm_Vertical",133.400000,-83.920000,0.000000,top
"J6","Connect The Hall Circuit Here!","PinHeader_1x03_P2.54mm_Vertical",166.703949,-113.796051,135.000000,top
"R1","0.1uF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",154.300000,-50.200000,90.000000,top
"R2","10uF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",156.290000,-50.200000,90.000000,top
"R3","0.1uF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",176.290000,-83.802500,-90.000000,top
"R4","10uF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",174.300000,-83.802500,-90.000000,top
"R5","10-33 uF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",138.000000,-87.697500,90.000000,top
"TS Better Work","SMA Connector","TE_5-1814832-2",179.200000,-92.700000,0.000000,top
"U1","nRF52840 (Sense) WAS HERE","XIAO-nRF52840-DIP",141.100000,-53.920000,0.000000,top
"U2","RFM95W","XCVR_RFM95W-868S2",159.933274,-83.000000,0.000000,top
